S.no,College Name,City,State,ESTD,Fees Per Year
1,"GITAM Institute of Medical Sciences and Research",Visakhapatnam,Andhra Pradesh,2015,"25,37,000"
2,"Hamdard - HIMSR",New Delhi,Delhi,2012,"16,00,000"
3,"SBKS Medical Institute and Research Centre",Vadodara,Gujarat,2002,"18,75,000"
4,"Amrita School of Medicine",Faridabad,Haryana,2022,"19,00,000"
5,"Maharishi Markandeshwar Institute of Medical Sciences & Research",Mullana,Haryana,2003,"17,00,000"
6,"Manipal Tata Medical College",Jamshedpur,Jharkhand,2020,"17,70,000"
7,"BLDE (Deemed to be University) Shri B. M. Patil Medical College",Vijayapura,Karnataka,1986,"18,00,000"
8,"Jawaharlal Nehru Medical College",Belagavi,Karnataka,1963,"18,30,000"
9,"Jagadguru Gangadhar Mahaswamigalu Moorusavirmath Medical College",Hubballi,Karnataka,2021,"16,40,000"
10,"JSS Medical College",Mysuru,Karnataka,1984,"18,50,000"
11,"K.S. Hegde Medical Academy",Mangaluru,Karnataka,1999,"17,50,000"
12,"Kasturba Medical College, Manipal",Manipal,Karnataka,1953,"17,70,000"
13,"Kasturba Medical College, Mangalore",Mangaluru,Karnataka,1955,"17,70,000"
14,"Raja Rajeshwari Medical College & Hospital",Bengaluru,Karnataka,2005,"23,00,000"
15,"Sri Devaraj Urs Medical College (SDUMC)",Kolar,Karnataka,1986,"17,60,000"
16,"Sri Siddhartha Medical College",Tumakuru,Karnataka,1988,"17,75,000"
17,"Sri Siddhartha Institute of Medical Sciences & Research Centre",Begur,Karnataka,2019,"17,75,000"
18,"Yenepoya Medical College",Mangaluru,Karnataka,1999,"22,00,000"
19,"Amrita School of Medicine",Kochi,Kerala,2002,"19,00,000"
20,"Bharati Vidyapeeth Deemed University Medical College",Pune,Maharashtra,1989,"22,40,170"
21,"Bharati Vidyapeeth Deemed University Medical College and Hospital",Sangli,Maharashtra,2005,"21,02,835"
22,"Datta Meghe Institute of Medical Sciences (Shalinitai Meghe Hospital)",Nagpur,Maharashtra,2020,"20,25,000"
23,"Dr. D.Y. Patil Medical College",Kolhapur,Maharashtra,2005,"20,60,000"
24,"Dr. D.Y. Patil Medical College, Hospital and Research Centre",Navi Mumbai,Maharashtra,1989,"27,00,000"
25,"Dr. D.Y. Patil Medical College, Hospital and Research Centre",Pune,Maharashtra,1996,"26,50,000"
26,"Jawaharlal Nehru Medical College",Wardha,Maharashtra,1990,"20,75,000"
27,"Krishna Institute of Medical Sciences",Karad,Maharashtra,1984,"22,50,000"
28,"MGM Medical College",Vashi,Maharashtra,1989,"21,00,000"
29,"MGM Medical College",Navi Mumbai,Maharashtra,1989,"21,00,000"
30,"MGM Medical College",Aurangabad,Maharashtra,1990,"21,00,000"
31,"Rural Medical College of Loni",Loni,Maharashtra,1984,"17,50,000"
32,"Symbiosis Medical College for Women",Pune,Maharashtra,2020,"10,00,000"
33,"Institute of Medical Sciences and SUM Hospital",Bhubaneswar,Odisha,2007,"19,60,000"
34,"Kalinga Institute of Medical Sciences (KIMS)",Bhubaneswar,Odisha,2007,"18,50,000"
35,"Aarupadai Veedu Medical College and Hospital",Puducherry,Pondicherry,1999,"19,50,000"
36,"Mahatma Gandhi Medical College and Research Institute",Puducherry,Pondicherry,2001,"22,00,000"
37,"Sri Lakshmi Narayana Institute of Medical Sciences",Puducherry,Pondicherry,2006,"23,00,000"
38,"Vinayaka Mission's Medical College",Karaikal,Pondicherry,1997,"18,50,000"
39,"ACS Medical College and Hospital",Chennai,Tamil Nadu,2008,"24,00,000"
40,"Bhaarath Medical College and Hospital",Chennai,Tamil Nadu,2020,"24,00,000"
41,"Chettinad Hospital and Research Institute",Kancheepuram,Tamil Nadu,2006,"24,50,000"
42,"Meenakshi Medical College and Research Institute",Chennai,Tamil Nadu,2003,"22,50,000"
43,"Saveetha Medical College and Hospital",Chennai,Tamil Nadu,2008,"24,75,000"
44,"Shri Sathya Sai Medical College and Research Institute",Kancheepuram,Tamil Nadu,2008,"20,00,000"
45,"Sree Balaji Medical College and Hospital",Chennai,Tamil Nadu,2003,"25,00,000"
46,"Sri Lalithambigai Medical College and Hospital",Chennai,Tamil Nadu,2021,"19,00,000"
47,"Sri Ramachandra Medical College and Research Institute",Chennai,Tamil Nadu,1985,"25,00,000"
48,"SRM Medical College Hospital and Research Centre",Chennai,Tamil Nadu,2005,"25,00,000"
49,"Vels Medical College & Hospital",Chennai,Tamil Nadu,2021,"21,00,000"
50,"Vinayaka Mission's Kirupananda Variyar Medical College",Salem,Tamil Nadu,1995,"20,00,000"
51,"Santosh Medical College",Ghaziabad,Uttar Pradesh,1995,"24,00,000"
