S.no,College,State,Fees,ESTD
1,AIIMS Mangalagiri,Andhra Pradesh,5856,2018
2,"Andhra MC, Visakhapatnam",Andhra Pradesh,28800,1923
3,"Sri Venkateswara MC, Tirupati",Andhra Pradesh,40250,1923
4,"Guntur MC, Guntur",Andhra Pradesh,25500,1946
5,"Kurnool MC, Kurnool",Andhra Pradesh,10000,1946
6,"Rangaraya MC, Kakinada",Andhra Pradesh,25500,1957
7,"Siddhartha MC, Vijayawada",Andhra Pradesh,38730,1958
8,SVIMS - Sri Padmavathi (Women),Andhra Pradesh,25200,1980
9,"Government MC, Ananthapuram",Andhra Pradesh,95800,2014
10,"ACSR Govt MC, Nellore",Andhra Pradesh,30600,2000
11,RIMS Srikakulam,Andhra Pradesh,28300,2014
12,"RIMS, Ongole",Andhra Pradesh,34500,2000
13,"Rajiv Gandhi IMS, Kadapa",Andhra Pradesh,28100,2011
14,"GMC, Eluru",Andhra Pradesh,33500,2006
15,"GMC, Rajamahendravaram",Andhra Pradesh,36000,2023
16,GMC Vizianagaram,Andhra Pradesh,49124,2023
17,"GMC, Machilipatnam",Andhra Pradesh,36000,2023
18,"GMC, Nandyal",Andhra Pradesh,36000,2023
1,AIIMS Guwahati,Assam,5856,2020
2,"Guwahati MC, Guwahati",Assam,23900,1960
3,"Assam MC, Dibrugarh",Assam,23900,1947
4,"Jorhat MC & Hospital, Jorhat",Assam,23900,2010
5,"Silchar MC, Silchar",Assam,17900,1968
6,"Fakhruddin Ali Ahmed MC, Barpeta",Assam,23900,2012
7,"Tezpur MC, Tezpur",Assam,24900,2014
8,"Diphu MC & Hospital, Karbi Anglong",Assam,30000,2020
9,"Lakhimpur MC, Chowkham",Assam,24900,2021
10,"Dhubri Medical College, Dhubri",Assam,24900,2022
11,"Nagaon Medical College, Diphu",Assam,23900,2023
12,"Nalbari MCH Dakhingaon, Nalbari",Assam,21500,2023
13,"Kokrajhar MCH Rangalikhata",Assam,23900,2023
1,"AIIMS, Patna",Bihar,5826,2012
2,"Patna MC, Patna",Bihar,28800,1925
3,"Indira Gandhi IMS, Patna",Bihar,121667,2011
4,"Nalanda MC, Patna",Bihar,40800,1970
5,"Darbhanga MC, Laheriasarai",Bihar,40800,1946
6,"Vardhaman IMS, Nalanda",Bihar,40800,1970
7,"Anugrah Narayan, Gaya",Bihar,40800,1970
8,"ESIC MC & Hospital, Bihta",Bihar,100000,2020
9,"Jawaharlal Nehru MC, Bhagalpur",Bihar,40800,1971
10,"Sri Krishna MC, Muzaffarpur",Bihar,40800,1970
11,"Government MC, Bettiah",Bihar,40800,2013
12,"J.K.T.M.C. & H. Madhepura",Bihar,40800,2020
1,"GMC, Purnea",Bihar,40800,2023
1,"AIIMS, Raipur",Chhattisgarh,5826,2012
2,"Pt. J N M MC, Raipur",Chhattisgarh,50000,1963
3,"Chattisgarh IMS, Bilaspur",Chhattisgarh,50000,2001
4,"Lt. L A M Govt. MC, Raigarh",Chhattisgarh,40000,2013
5,"Chandulal Chandrakar Mem. GMC",Chhattisgarh,50000,2013
6,"Government MC, Rajnandgaon",Chhattisgarh,50000,2014
7,"Lt. B R K Government MC, Jagdalpur",Chhattisgarh,50000,2006
8,"Rajmata SDKS GMC",Chhattisgarh,53500,2016
9,"Government MC, Kanker",Chhattisgarh,50000,2021
10,"Government MC, Mahasamund",Chhattisgarh,59200,2022
11,"Government MC, Korba",Chhattisgarh,50000,2022
1,"AIIMS, Rajkot",Gujarat,5356,2020
2,"B.J. M.C, Ahmedabad",Gujarat,25000,1946
3,"MC, Baroda",Gujarat,25000,1949
4,"Government MC, Surat",Gujarat,25000,1964
5,"Pt. D. D. U MC, Rajkot",Gujarat,25000,1995
6,"M. P. Shah MC, Jamnagar",Gujarat,30000,1955
7,"MC, Bhavnagar",Gujarat,25000,1995
8,"Government MC, Morbi",Gujarat,330000,2022
9,"GMC, Panchmahal Godhra",Gujarat,330000,2022
10,"Government MC, Porbandar",Gujarat,330000,2022
11,"GMERS Medical College, Rajpipla",Gujarat,330000,2022
12,"GMERS Medical College, Navsari",Gujarat,330000,2022
1,"PT. B.D. Sharma PGIMS, Rohtak",Haryana,80000,1960
2,"ESIC MC, Faridabad",Haryana,100000,2015
3,"BPS Govt. Med. College, Sonepat",Haryana,80000,2012
4,"Maharaja Agrasen",Haryana,180000,2002
5,"SHKM GMC, Nalhar, Mewat",Haryana,80000,2013
6,"Kalpana Chawla Govt. MC, Karnal",Haryana,80000,2017
7,"Shri ABV GMC, Faridabad",Haryana,80000,2022
1,"AIIMS, Bilaspur",Himachal Pradesh,1628,2020
2,"Indira Gandhi MC, Shimla",Himachal Pradesh,60000,1966
3,"Dr. Rajendra Prasad MC, Tanda",Himachal Pradesh,60000,1996
4,"SLBS Govt. MC, Mandi",Himachal Pradesh,87200,2017
5,"Government MC Hamirpur",Himachal Pradesh,60000,2018
6,"Pt. Jawahar Lal Nehru GMC, Chamba",Himachal Pradesh,60000,2017
7,"Dr. Radhakrishnan, Hamirpur",Himachal Pradesh,60000,2018
1,AIIMS Jammu,Jammu & Kashmir,1628,2020
2,Sher-I-Kashmir IMS,Jammu & Kashmir,26100,1988
3,Government MC, Jammu,Jammu & Kashmir,26380,1972
4,Government MC, Srinagar,Jammu & Kashmir,34215,1959
5,Government MC, Anantnag,Jammu & Kashmir,26000,2019
6,Government MC, Baramulla,Jammu & Kashmir,28850,2019
7,Government MC, Kathua,Jammu & Kashmir,26250,2019
8,Government MC, Rajouri,Jammu & Kashmir,26250,2019
9,Govt. MC, Doda,Jammu & Kashmir,26250,2020
10,GMC, Handwara,Jammu & Kashmir,34215,2023
11,GMC, Udhampur,Jammu & Kashmir,27060,2023
1,AIIMS, Deoghar,Jharkhand,5856,2019
2,RIMS, Ranchi,Jharkhand,10050,1960
3,M. G. M. MC, Jamshedpur,Jharkhand,9130,1961
4,Shaheed Nirmal Mahto, Dhanbad,Jharkhand,8500,1969
5,Sheikh Bhikhari MC, Hazaribagh,Jharkhand,9180,2019
6,Paulo Jhano MC, Dumka,Jharkhand,19000,2019
