S.no,College Name,City,State,ESTD,Fees Per Year
1,"AIIMS Mangalagiri",Vijayawada,Andhra Pradesh,2018,"5,856"
2,"Andhra Medical College",Visakhapatnam,Andhra Pradesh,1923,"28,800"
3,"Sri Venkateswara Medical College",Tirupati,Andhra Pradesh,1923,"40,250"
4,"Guntur Medical College",Guntur,Andhra Pradesh,1946,"25,500"
5,"Kurnool Medical College",Kurnool,Andhra Pradesh,1946,"10,000"
6,"Rangaraya Medical College",Kakinada,Andhra Pradesh,1957,"25,500"
7,"Siddhartha Medical College",Vijayawada,Andhra Pradesh,1958,"38,730"
8,"SVIMS - Sri Padmavathi Medical College for Women",Tirupati,Andhra Pradesh,1980,"25,200"
9,"Government Medical College",Ananthapuram,Andhra Pradesh,2014,"95,800"
10,"ACSR Government Medical College",Nellore,Andhra Pradesh,2000,"30,600"
11,"Rajiv Gandhi Institute of Medical Sciences",Srikakulam,Andhra Pradesh,2014,"28,300"
12,"Rajiv Gandhi Institute of Medical Sciences",Ongole,Andhra Pradesh,2000,"34,500"
13,"Rajiv Gandhi Institute of Medical Sciences",Kadapa,Andhra Pradesh,2011,"28,100"
14,"Government Medical College",Eluru,Andhra Pradesh,2006,"33,500"
15,"Government Medical College",Rajamahendravaram,Andhra Pradesh,2023,"36,000"
16,"Government Medical College",Vizianagaram,Andhra Pradesh,2023,"49,124"
17,"Government Medical College",Machilipatnam,Andhra Pradesh,2023,"36,000"
18,"Government Medical College",Nandyal,Andhra Pradesh,2023,"36,000"
19,"AIIMS Guwahati",Guwahati,Assam,2020,"5,856"
20,"Guwahati Medical College",Guwahati,Assam,1960,"23,900"
21,"Assam Medical College",Dibrugarh,Assam,1947,"23,900"
22,"Jorhat Medical College & Hospital",Jorhat,Assam,2010,"23,900"
23,"Silchar Medical College",Silchar,Assam,1968,"17,900"
24,"Fakhruddin Ali Ahmed Medical College",Barpeta,Assam,2012,"23,900"
25,"Tezpur Medical College",Tezpur,Assam,2014,"24,900"
26,"Diphu Medical College & Hospital",Karbi Anglong,Assam,2020,"30,000"
27,"Lakhimpur Medical College",Chowkham,Assam,2021,"24,900"
28,"Dhubri Medical College",Dhubri,Assam,2022,"24,900"
29,"Nagaon Medical College",Nagaon,Assam,2023,"23,900"
30,"Nalbari Medical College & Hospital",Nalbari,Assam,2023,"21,500"
31,"Kokrajhar Medical College & Hospital",Kokrajhar,Assam,2023,"23,900"
32,"AIIMS Patna",Patna,Bihar,2012,"5,826"
33,"Patna Medical College",Patna,Bihar,1925,"28,800"
34,"Indira Gandhi Institute of Medical Sciences",Patna,Bihar,2011,"1,21,667"
35,"Nalanda Medical College",Patna,Bihar,1970,"40,800"
36,"Darbhanga Medical College",Laheriasarai,Bihar,1946,"40,800"
37,"Vardhman Institute of Medical Sciences",Nalanda,Bihar,1970,"40,800"
38,"Anugrah Narayan Magadh Medical College",Gaya,Bihar,1970,"40,800"
39,"ESIC Medical College & Hospital",Bihta,Bihar,2020,"1,00,000"
40,"Jawaharlal Nehru Medical College",Bhagalpur,Bihar,1971,"40,800"
41,"Sri Krishna Medical College",Muzaffarpur,Bihar,1970,"40,800"
42,"Government Medical College",Bettiah,Bihar,2013,"40,800"
43,"Jan Nayak Karpoori Thakur Medical College",Madhepura,Bihar,2020,"40,800"
44,"Government Medical College",Purnea,Bihar,2023,"40,800"
45,"AIIMS Raipur",Raipur,Chhattisgarh,2012,"5,826"
46,"Pt. J N M Medical College",Raipur,Chhattisgarh,1963,"50,000"
47,"Chhattisgarh Institute of Medical Sciences",Bilaspur,Chhattisgarh,2001,"50,000"
48,"Late Late Shri Lakhi Ram Agrawal Memorial GMC",Raigarh,Chhattisgarh,2013,"40,000"
49,"Chandulal Chandrakar Memorial GMC",Durg,Chhattisgarh,2013,"50,000"
50,"Government Medical College",Rajnandgaon,Chhattisgarh,2014,"50,000"
51,"Late Baliram Kashyap Memorial GMC",Jagdalpur,Chhattisgarh,2006,"50,000"
52,"Rajmata Srimati Devendra Kumari Singhdeo GMC",Ambikapur,Chhattisgarh,2016,"53,500"
53,"Government Medical College",Kanker,Chhattisgarh,2021,"50,000"
54,"Government Medical College",Mahasamund,Chhattisgarh,2022,"59,200"
55,"Government Medical College",Korba,Chhattisgarh,2022,"50,000"
56,"AIIMS Rajkot",Rajkot,Gujarat,2020,"5,356"
57,"B.J. Medical College",Ahmedabad,Gujarat,1946,"25,000"
58,"Medical College Baroda",Vadodara,Gujarat,1949,"25,000"
59,"Government Medical College",Surat,Gujarat,1964,"25,000"
60,"Pt. D. D. U Medical College",Rajkot,Gujarat,1995,"25,000"
61,"M. P. Shah Government Medical College",Jamnagar,Gujarat,1955,"30,000"
62,"Government Medical College",Bhavnagar,Gujarat,1995,"25,000"
63,"Government Medical College",Morbi,Gujarat,2022,"3,30,000"
64,"Government Medical College",Godhra,Gujarat,2022,"3,30,000"
65,"Government Medical College",Porbandar,Gujarat,2022,"3,30,000"
66,"GMERS Medical College",Rajpipla,Gujarat,2022,"3,30,000"
67,"GMERS Medical College",Navsari,Gujarat,2022,"3,30,000"
68,"PT. B.D. Sharma PGIMS",Rohtak,Haryana,1960,"80,000"
69,"ESIC Medical College",Faridabad,Haryana,2015,"1,00,000"
70,"BPS Government Medical College for Women",Sonepat,Haryana,2012,"80,000"
71,"Maharaja Agrasen Medical College",Agroha,Haryana,2002,"1,80,000"
72,"Shaheed Hasan Khan Mewati GMC",Mewat,Haryana,2013,"80,000"
73,"Kalpana Chawla Government Medical College",Karnal,Haryana,2017,"80,000"
74,"Shri Atal Bihari Vajpayee GMC",Faridabad,Haryana,2022,"80,000"
75,"AIIMS Bilaspur",Bilaspur,Himachal Pradesh,2020,"1,628"
76,"Indira Gandhi Medical College",Shimla,Himachal Pradesh,1966,"60,000"
77,"Dr. Rajendra Prasad Government Medical College",Tanda,Himachal Pradesh,1996,"60,000"
78,"SLBS Government Medical College",Mandi,Himachal Pradesh,2017,"87,200"
79,"Dr. Radhakrishnan Government Medical College",Hamirpur,Himachal Pradesh,2018,"60,000"
80,"Pt. Jawahar Lal Nehru GMC",Chamba,Himachal Pradesh,2017,"60,000"
81,"AIIMS Jammu",Jammu,Jammu & Kashmir,2020,"1,628"
82,"Sher-I-Kashmir Institute of Medical Sciences",Srinagar,Jammu & Kashmir,1988,"26,100"
83,"Government Medical College",Jammu,Jammu & Kashmir,1972,"26,380"
84,"Government Medical College",Srinagar,Jammu & Kashmir,1959,"34,215"
85,"Government Medical College",Anantnag,Jammu & Kashmir,2019,"26,000"
86,"Government Medical College",Baramulla,Jammu & Kashmir,2019,"28,850"
87,"Government Medical College",Kathua,Jammu & Kashmir,2019,"26,250"
88,"Government Medical College",Rajouri,Jammu & Kashmir,2019,"26,250"
89,"Government Medical College",Doda,Jammu & Kashmir,2020,"26,250"
90,"Government Medical College",Handwara,Jammu & Kashmir,2023,"34,215"
91,"Government Medical College",Udhampur,Jammu & Kashmir,2023,"27,060"
92,"AIIMS Deoghar",Deoghar,Jharkhand,2019,"5,856"
93,"Rajendra Institute of Medical Sciences (RIMS)",Ranchi,Jharkhand,1960,"10,050"
94,"M. G. M. Medical College",Jamshedpur,Jharkhand,1961,"9,130"
95,"Shaheed Nirmal Mahto Medical College",Dhanbad,Jharkhand,1969,"8,500"
96,"Sheikh Bhikhari Medical College",Hazaribagh,Jharkhand,2019,"9,180"
97,"Phulo Jhano Medical College",Dumka,Jharkhand,2019,"19,000"
98,"Medinirai Medical College",Palamu,Jharkhand,2019,"8,980"
99,"Bangalore Medical College and Research Institute",Bengaluru,Karnataka,1955,"70,200"
100,"Mysore Medical College and Research Institute",Mysuru,Karnataka,1924,"67,050"
101,"Karnataka Institute of Medical Sciences",Hubballi,Karnataka,1957,"64,040"
102,"Mandya Institute of Medical Sciences",Mandya,Karnataka,2006,"66,000"
103,"Shri Atal Bihari Vajpayee Medical College & RI",Bengaluru,Karnataka,2019,"70,470"
104,"Vijayanagar Institute of Medical Sciences",Ballari,Karnataka,1961,"65,160"
105,"Belgaum Institute of Medical Sciences",Belagavi,Karnataka,2006,"65,780"
106,"ESI-MC & PGIMSR",Bengaluru,Karnataka,2012,"1,00,000"
107,"Hassan Institute of Medical Sciences",Hassan,Karnataka,2006,"70,500"
108,"Shimoga Institute of Medical Sciences",Shivamogga,Karnataka,2007,"80,400"
109,"ESIC Medical College",Kalaburagi,Karnataka,2013,"69,450"
110,"Gulbarga Institute of Medical Sciences",Kalaburagi,Karnataka,2015,"69,450"
111,"Bidar Institute of Medical Sciences",Bidar,Karnataka,2007,"69,450"
112,"Raichur Institute of Medical Sciences",Raichur,Karnataka,2007,"68,550"
113,"Gadag Institute of Medical Sciences",Gadag,Karnataka,2015,"73,350"
114,"Kodagu Institute of Medical Sciences",Madikeri,Karnataka,2016,"77,400"
115,"Koppal Institute of Medical Sciences",Koppal,Karnataka,2015,"75,650"
116,"Karwar Institute of Medical Sciences",Karwar,Karnataka,2016,"50,000"
117,"Chamarajanagar Institute of Medical Sciences",Chamarajanagar,Karnataka,2016,"77,000"
118,"Chikkaballapura Institute of Medical Sciences",Chikkaballapur,Karnataka,2021,"73,370"
119,"Chikkamagaluru Institute of Medical Sciences",Chikkamagaluru,Karnataka,2021,"74,470"
120,"Yadgiri Institute of Medical Sciences",Yadgiri,Karnataka,2022,"74,100"
121,"Haveri Institute of Medical Sciences",Haveri,Karnataka,2022,"74,100"
122,"Chitradurga Medical College",Chitradurga,Karnataka,2023,"1,07,740"
123,"Government Medical College",Kozhikode,Kerala,1957,"30,200"
124,"Government Medical College",Thiruvananthapuram,Kerala,1951,"31,570"
125,"Government Medical College",Kottayam,Kerala,1960,"31,570"
126,"Government Medical College",Thrissur,Kerala,1981,"31,570"
127,"T.D. Medical College",Alappuzha,Kerala,1963,"31,570"
128,"Government Medical College",Kannur,Kerala,1995,"31,570"
129,"Government Medical College",Ernakulam,Kerala,2000,"31,570"
130,"Government Medical College, ESIC",Kollam,Kerala,2017,"27,580"
131,"Government Medical College",Manjeri,Kerala,2013,"28,950"
132,"Government Medical College",Palakkad,Kerala,2014,"28,950"
133,"Government Medical College",Idukki,Kerala,2022,"31,570"
134,"Government Medical College",Konni,Kerala,2022,"31,570"
135,"AIIMS Bhopal",Bhopal,Madhya Pradesh,2012,"1,17,850"
136,"MGM Medical College",Indore,Madhya Pradesh,1948,"1,18,000"
137,"Gandhi Medical College",Bhopal,Madhya Pradesh,1955,"1,15,000"
138,"Netaji Subhash Chandra Bose Medical College",Jabalpur,Madhya Pradesh,1955,"1,14,000"
139,"G.R. Medical College",Gwalior,Madhya Pradesh,1946,"1,21,500"
140,"S.S. Medical College",Rewa,Madhya Pradesh,1963,"1,21,985"
141,"Bundelkhand Medical College",Sagar,Madhya Pradesh,2009,"1,14,000"
142,"Government Medical College",Ratlam,Madhya Pradesh,2018,"1,16,350"
143,"Atal Bihari Vajpayee Government Medical College",Vidisha,Madhya Pradesh,2018,"1,00,000"
144,"Government Medical College",Khandwa,Madhya Pradesh,2018,"1,00,000"
145,"Government Medical College",Datia,Madhya Pradesh,2018,"1,26,000"
146,"Chhindwara Institute of Medical Sciences",Chhindwara,Madhya Pradesh,2019,"1,14,000"
147,"Government Medical College",Shivpuri,Madhya Pradesh,2019,"1,42,000"
148,"Government Medical College",Shahdol,Madhya Pradesh,2019,"1,22,000"
149,"Government Medical College",Satna,Madhya Pradesh,2023,"1,21,985"
150,"AIIMS Bhubaneswar",Bhubaneswar,Odisha,2012,"5,856"
151,"S.C.B. Medical College",Cuttack,Odisha,1944,"38,050"
152,"MKCG Medical College",Berhampur,Odisha,1962,"38,291"
153,"V.S.S. Medical College",Burla,Odisha,1959,"37,950"
154,"Government Medical College & Hospital",Balasore,Odisha,2018,"38,386"
155,"Pandit Raghunath Murmu Medical College",Baripada,Odisha,2017,"37,950"
156,"Bhima Bhoi Medical College & Hospital",Balangir,Odisha,2018,"38,256"
157,"Saheed Laxman Nayak Medical College & Hospital",Koraput,Odisha,2017,"38,256"
158,"Sri Jagannath Medical College & Hospital",Puri,Odisha,2021,"38,040"
159,"Government Medical College",Keonjhar,Odisha,2022,"37,950"
160,"Government Medical College",Sundargarh,Odisha,2022,"38,256"
