,,,,,,
,,,,,,
,,,,,,
State,S.No,College,City,Fees Per Year,,
Uttar Pradesh,1,Sri Ram Murti Smarak Institute Of Medical Sciences,Bareilly,"13,73,760",,
Uttar Pradesh,2,Muzaffarnagar Medical College,Muzaffarnagar,"12,80,037",,
Uttar Pradesh,3,Rohilkhand Medical College & Hospital,Bareilly,"13,00,251",,
Uttar Pradesh,4,Rama Medical College & Hospital,Kanpur,"12,66,579",,
Uttar Pradesh,5,Saraswati Institute Of Medical Science,Hapur,"11,81,671",,
Uttar Pradesh,6,Hind Institute Of Medical Sciences,Barabanki,"11,70,612",,
Uttar Pradesh,7,SOMS (Sharda University),Greater Noida,"12,69,319",,
Uttar Pradesh,8,Rama Medical College & Hospital,Hapur,"13,09,968",,
Uttar Pradesh,9,Subharti Med Coll,Meerut,"11,85,133",,
Uttar Pradesh,10,Rajshree Medical Research Institute,Bareilly,"12,28,408",,
Uttar Pradesh,11,Heritage Institute Of Medical Sciences,Varanasi,"13,21,492",,
Uttar Pradesh,12,Hind Institute Of Medical Sciences,Sitapuri,"10,77,229",,
Uttar Pradesh,13,T.S. Mishra Medical College & Hospital,Lucknow,"12,99,199",,
Uttar Pradesh,14,Prasad Institute Of Medical Sciences,Lucknow,"11,03,932",,
Uttar Pradesh,15,Mayo Institute Of Medical Sciences,Barabanki,"11,70,612",,
Uttar Pradesh,16,Krishan Mohan Medical Colleges,Mathura,"11,73,856",,
Uttar Pradesh,17,Saraswati Medical College,Unnao,"11,59,610",,
Uttar Pradesh,18,K D Medical College,Mathura,"12,28,240",,
Uttar Pradesh,19,GS Medical College,Hapur,"11,78,892",,
Uttar Pradesh,20,National Capital Region Institute Of Medical Sciences,Meerut,"12,19,917",,
Uttar Pradesh,21,Varunaryan Medical College,Shahjahanpur,"12,10,000",,
Uttar Pradesh,22,Shri Venkateshwara Institute Of Medical Science,Amrohi,"11,10,508",,
Uttar Pradesh,23,United Institute Of Medical Sciences,Prayagraj,"11,90,401",,
Uttar Pradesh,24,Noida International Institute Of Medical Sciences,Greater Noida,"11,92,211",,
Uttar Pradesh,25,Naraina Medical College,Kanpur,"12,14,683",,
Uttar Pradesh,26,SKS Medical College,Mathura,"12,14,683",,
Uttar Pradesh,27,Career Institute Of Medical Sciences & Hospital,Lucknow,"15,80,000",,
Uttar Pradesh,28,Era's Lucknow Medical College & Hospital. (8% Y),Lucknow,"16,60,000",,
Uttar Pradesh,29,Teerthankar Mahaveer Medical College (8.1 % Y),Moradabad,"16,20,000",,
Uttar Pradesh,30,F.H. Medical College,Agra,"16,50,000",,
Uttar Pradesh,31,Integral Institute Of Medical Sciences,Lucknow,"17,00,000",,
West Bengal,1,K.P.C Medical College & Hospital,Kolkata,"16,00,000",,
West Bengal,2,IQ City Medical College,Durgapur,"22,00,000",,
West Bengal,3,Jagannath Gupta Institute Of Medical Sciences & Hospital,Kolkata,"19,00,000",,
West Bengal,4,ICare Institute Of Medical Science & Research,Medinipur,"19,00,000",,
West Bengal,5,JIS School Of Medical Science & Research,Howrah,"21,88,000",,
West Bengal,6,JMN Medical College,Kolkata,"19,00,000",,
West Bengal,7,Gouri Devi Institute of Medical Sciences & Hospital,Durgapur,"21,88,000",,
West Bengal,8,Shantiniketan Medical College,Gobindapur,"19,00,000",,
West Bengal,9,Shri Ramkrishna Institute of Medical Sciences & Sanaka Hospitals,Durgapur,"19,00,000",,
Haryana,1,SGT Medical College & Research Institute,Gurgaon,"18,00,000",,
Haryana,2,Al-Falah School of Medical Science & Research Centre,Faridabad,"14,25,000",,
Haryana,3,NC Medical College & Hospital,Panipat,"12,00,000",,
Haryana,4,Adesh Medical College & Hospital,Kurukshetra,"12,00,000",,
Haryana,5,World College of Medical Sciences,Jhajjar,"12,00,000",,
Karnataka,1,Sri Madhusudan Sai,Chikballaapur,750,OPN,
Karnataka,2,St John's Medical College,Bangalore,"7,88,385",OPN,
Karnataka,3,Kempegowda IMS,Bangalore,"10,92,852",OPN,
Karnataka,4,Vydehi IMS & RC,Bangalore,"10,92,852",OPN,
Karnataka,5,Dr. B.R. Ambedkar Med. Coll,Bangalore,"10,92,852",OPN,
Karnataka,6,BGS Global Institute of Med. Sc.,Bangalore,"10,92,852",OPN,
Karnataka,7,M.V.J. Medical Coll. & Rich. Hosp.,Bangalore,"10,92,852",OPN,
Karnataka,8,Akash IMS & RC,Bangalore,"10,92,852",OPN,
