S.no,College Name,City,State,ESTD,Fees Per Year
1,"Sri Ram Murti Smarak Institute of Medical Sciences",Bareilly,Uttar Pradesh,2002,"13,73,760"
2,"Muzaffarnagar Medical College",Muzaffarnagar,Uttar Pradesh,2006,"12,80,037"
3,"Rohilkhand Medical College & Hospital",Bareilly,Uttar Pradesh,2006,"13,00,251"
4,"Rama Medical College & Hospital",Kanpur,Uttar Pradesh,2008,"12,66,579"
5,"Saraswati Institute of Medical Sciences",Hapur,Uttar Pradesh,2008,"11,81,671"
6,"Hind Institute of Medical Sciences",Barabanki,Uttar Pradesh,2008,"11,70,612"
7,"SOMS (Sharda University)",Greater Noida,Uttar Pradesh,2009,"12,69,319"
8,"Rama Medical College & Hospital",Hapur,Uttar Pradesh,2015,"13,09,968"
9,"Subharti Medical College",Meerut,Uttar Pradesh,1996,"11,85,133"
10,"Rajshree Medical Research Institute",Bareilly,Uttar Pradesh,2014,"12,28,408"
11,"Heritage Institute of Medical Sciences",Varanasi,Uttar Pradesh,2015,"13,21,492"
12,"Hind Institute of Medical Sciences",Sitapur,Uttar Pradesh,2015,"10,77,229"
13,"T.S. Misra Medical College & Hospital",Lucknow,Uttar Pradesh,2016,"12,99,199"
14,"Prasad Institute of Medical Sciences",Lucknow,Uttar Pradesh,2016,"11,03,932"
15,"Mayo Institute of Medical Sciences",Barabanki,Uttar Pradesh,2012,"11,70,612"
16,"Krishna Mohan Medical College & Hospital",Mathura,Uttar Pradesh,2016,"11,73,856"
17,"Saraswati Medical College",Unnao,Uttar Pradesh,2016,"11,59,610"
18,"K.D. Medical College Hospital & Research Centre",Mathura,Uttar Pradesh,2015,"12,28,240"
19,"G.S. Medical College & Hospital",Hapur,Uttar Pradesh,2017,"11,78,892"
20,"National Capital Region Institute of Medical Sciences",Meerut,Uttar Pradesh,2018,"12,19,917"
21,"Varun Arjun Medical College",Shahjahanpur,Uttar Pradesh,2016,"12,10,000"
22,"Shri Venkateshwara Institute of Medical Sciences",Amroha,Uttar Pradesh,2016,"11,10,508"
23,"United Institute of Medical Sciences",Prayagraj,Uttar Pradesh,2020,"11,90,401"
24,"Noida International Institute of Medical Sciences",Greater Noida,Uttar Pradesh,2020,"11,92,211"
25,"Naraina Medical College & Research Centre",Kanpur,Uttar Pradesh,2021,"12,14,683"
26,"SKS Hospital Medical College & Research Centre",Mathura,Uttar Pradesh,2023,"12,14,683"
27,"Career Institute of Medical Sciences & Hospital",Lucknow,Uttar Pradesh,2011,"15,80,000"
