S.no,College,State,Fees Per Year
1,"GITAM, Visakhapatnam",Andhra Pradesh,"25,37,000"
2,"Hamdard - HIMSR, New Delhi",Delhi,"16,00,000"
3,"SBKS Vidyapeeth, Vadodara",Gujarat,"18,75,000"
4,"Amrita School of Medicine, Faridabad",Haryana,"19,00,000"
5,MM Inst. Mullana,Haryana,"17,00,000"
6,"Manipal TATA, Jamshedpur",Jharkhand,"17,70,000"
7,"B.L.D.E University, Bijapur",Karnataka,"18,00,000"
8,"Jawahar Lal Nehru Med. Coll., Belagavi",Karnataka,"18,30,000"
9,"JGMM Medical College, Hubballi",Karnataka,"16,40,000"
10,"JSS Medical College, Jagadguru",Karnataka,"18,50,000"
11,"K. S Hegde, Mangaluru",Karnataka,"17,50,000"
12,"Kasturba Medical College, Manipal",Karnataka,"17,70,000"
13,"Kasturba Medical College, Mangalore",Karnataka,"17,70,000"
14,"Raja Rajeshwari Medical College & Hospital, Bengaluru",Karnataka,"23,00,000"
15,"SDU Medical College, Kolar",Karnataka,"17,60,000"
16,"Sri Siddhartha, Tumkur",Karnataka,"17,75,000"
17,"Sri Siddhartha Academy, Begur",Karnataka,"17,75,000"
18,"Yenepoya, Mangalore",Karnataka,"22,00,000"
19,"Amrita Inst. of Med. Sc., Kochi",Kerala,"19,00,000"
20,"Bharti Vidyapith, Pune",Maharastra,"22,40,170"
21,"Bharti Vidyapith, Sangli",Maharastra,"21,02,835"
22,"Datta Megha IMS, Nagpur",Maharastra,"20,25,000"
23,"Dr. DY Patil, Kolhapur",Maharastra,"20,60,000"
24,"Dr. DY Patil, Navi Mumbai",Maharastra,"27,00,000"
25,"Dr. DY Patil, Pune",Maharastra,"26,50,000"
26,"JLN Datta Megha, Wardha",Maharastra,"20,75,000"
27,"Krishna Inst. Of Med. Science, Karad",Maharastra,"22,50,000"
28,"MGM Medical College, Vashi",Maharastra,"21,00,000"
29,"MGM Medical College, Navi Mumbai",Maharastra,"21,00,000"
30,"MGM Medical College, Aurangabad",Maharastra,"21,00,000"
31,"Rular Med Coll, PIMS, Loni",Maharastra,"17,50,000"
32,"Symbiosis Medical College For Women, Pune",Maharastra,"10,00,000"
33,"IMS SUM Host, Bhubneshwar",Odisha,"19,60,000"
34,"Kalinga KIMS, Bhubneshwar",Odisha,"18,50,000"
35,"Aarupadai Veedu, Puducherry",Pondicherry,"19,50,000"
36,"Mahatma Gandhi, Puducherry",Pondicherry,"22,00,000"
37,"Sri Lakshmi Narayan, Puducherry",Pondicherry,"23,00,000"
38,"Vinayka Mission, Karaikal",Pondicherry,"18,50,000"
39,"ACS Med. Col. Chennai",Tamil Nadu,"24,00,000"
40,"Bharat MC Chennai",Tamil Nadu,"24,00,000"
41,"Chettinad, Kancheepuram",Tamil Nadu,"24,50,000"
42,"Meenakshi Med Col. Chennai",Tamil Nadu,"22,50,000"
43,"Saveetha Medical College, Chennai",Tamil Nadu,"24,75,000"
44,"Shri Sathya Sai, Kancheepuram",Tamil Nadu,"20,00,000"
45,"Sree Balaji, Chennai",Tamil Nadu,"25,00,000"
46,"Sri Lalithambigai Med Coll",Tamil Nadu,"19,00,000"
47,"Sri Ramachandra, Chennai",Tamil Nadu,"25,00,000"
48,"SRM Med Col. Chennai",Tamil Nadu,"25,00,000"
49,"VELS Medical College & Hospital",Tamil Nadu,"21,00,000"
50,"Vinayka Mission, Salem",Tamil Nadu,"20,00,000"
51,"Santosh Med, Ghaziabad",Uttar Pradesh,"24,00,000"
